"vp"	"session"	"block"	"trial"	"leftright"	"adaptation_condition"	"adyesno"	"oriAdapt"	"tarori"	"saccade_latency"	"express"	"saccade_amplitude"	"sacerror_abs"	"error"
1	1	1	1	2	0	0	0	0.25	242	0	9.726	0.443	0
1	1	1	2	1	0	0	0	-0.25	188	0	9.995	0.104	0
1	1	1	3	1	0	0	0	0.25	212	0	10.288	0.018	0
1	1	1	4	2	0	0	0	-0.25	190	0	9.757	0.407	0
1	1	1	5	1	0	0	0	0.25	200	0	10.11	0.124	0
1	1	1	6	2	0	0	0	-0.25	171	0	10.088	0.23	0
1	1	1	7	1	0	0	0	-0.25	204	0	10.168	0.159	0
1	1	1	8	2	0	0	0	0.25	153	0	9.389	0.603	0
1	1	1	9	1	0	0	0	0.25	167	0	10.228	0.219	0
1	1	1	10	1	0	0	0	-0.25	197	0	9.86	0.342	0
1	1	1	11	2	0	0	0	-0.25	185	0	9.216	0.908	0
1	1	1	12	2	0	0	0	-0.25	166	0	9.922	0.345	0
1	1	1	13	1	0	0	0	0.25	188	0	9.623	0.361	0
1	1	1	14	2	0	0	0	0.25	180	0	9.616	0.473	0
1	1	1	15	2	0	0	0	0.25	213	0	8.885	1.338	0
1	1	1	16	2	0	0	0	-0.25	199	0	9.417	0.445	0
1	1	1	20	1	0	0	0	0.25	150	0	10.072	0.047	0
1	1	1	21	1	0	0	0	-0.25	178	0	11.405	1.359	0
1	1	1	22	1	0	0	0	0.25	177	0	10.876	0.755	0
1	1	1	23	1	0	0	0	0.25	210	0	9.71	0.369	0
1	1	1	24	2	0	0	0	-0.25	192	0	9.566	0.532	0
1	1	1	25	1	0	0	0	-0.25	145	0	10.547	0.23	0
1	1	1	26	1	0	0	0	-0.25	198	0	10.183	0.23	0
1	1	1	27	2	0	0	0	0.25	191	0	9.742	0.511	0
1	1	1	29	2	0	0	0	0.25	200	0	8.545	1.643	0
1	1	1	30	2	0	0	0	-0.25	230	0	9.373	0.633	0
1	1	1	31	1	0	0	0	0.25	174	0	11.147	1.234	0
1	1	1	32	1	0	0	0	-0.25	162	0	10.968	1.098	0
1	1	1	33	2	0	0	0	0.25	209	0	8.995	1.077	0
1	1	1	34	2	0	0	0	0.25	189	0	9.329	0.856	0
1	1	1	35	2	0	0	0	-0.25	214	0	9.191	1.044	0
1	1	1	36	1	0	0	0	-0.25	174	0	10.483	0.404	0
1	1	2	1	2	0	0	0	-0.25	161	0	10.443	0.124	0
1	1	2	2	2	0	0	0	0.25	175	0	9.348	0.824	0
1	1	2	3	2	0	0	0	-0.25	191	0	9.066	0.9	0
1	1	2	4	2	0	0	0	-0.25	195	0	9.603	0.62	0
1	1	2	5	1	0	0	0	-0.25	159	0	9.658	0.059	0
1	1	2	6	1	0	0	0	0.25	180	0	10.268	0.219	0
1	1	2	7	1	0	0	0	-0.25	148	0	10.059	0.099	0
1	1	2	8	2	0	0	0	0.25	138	0	9.599	0.59	0
1	1	2	9	1	0	0	0	0.25	98	1	9.128	1.031	0
1	1	2	10	2	0	0	0	0.25	196	0	9.399	0.927	0
1	1	2	11	2	0	0	0	0.25	176	0	9.781	0.581	0
1	1	2	12	1	0	0	0	-0.25	140	0	9.359	0.266	0
1	1	2	13	2	0	0	0	0.25	174	0	10.243	0.02	0
1	1	2	14	1	0	0	0	0.25	130	1	9.62	0.301	0
1	1	2	15	1	0	0	0	0.25	182	0	9.977	0.167	0
1	1	2	16	2	0	0	0	-0.25	185	0	9.37	0.927	0
1	1	2	17	2	0	0	0	-0.25	192	0	9.682	0.541	0
1	1	2	18	2	0	0	0	0.25	181	0	10.5	0.488	0
1	1	2	19	1	0	0	0	-0.25	146	0	10.012	0.183	0
1	1	2	20	1	0	0	0	-0.25	184	0	10.159	0.192	0
1	1	2	21	2	0	0	0	-0.25	227	0	9.242	0.81	0
1	1	2	22	1	0	0	0	-0.25	153	0	10.315	0.371	0
1	1	2	23	2	0	0	0	0.25	169	0	9.106	1.142	0
1	1	2	24	1	0	0	0	0.25	146	0	10.031	0.031	0
1	1	2	25	1	0	0	0	0.25	169	0	9.83	0.104	0
1	1	2	26	2	0	0	0	0.25	192	0	9.843	0.437	0
1	1	2	27	2	0	0	0	-0.25	197	0	9.898	0.587	0
1	1	2	28	1	0	0	0	-0.25	168	0	10.725	0.842	0
1	1	2	29	1	0	0	0	-0.25	204	0	10.094	0.238	0
1	1	2	30	2	0	0	0	-0.25	212	0	9.791	0.505	0
1	1	2	31	1	0	0	0	0.25	161	0	10.782	0.725	0
1	1	2	32	1	0	0	0	0.25	226	0	9.149	0.601	0
1	1	3	1	1	0	0	0	0.25	176	0	10.08	0.3	0
1	1	3	2	1	0	0	0	-0.25	210	0	9.718	0.304	0
1	1	3	3	2	0	0	0	0.25	169	0	9.775	0.405	0
1	1	3	4	2	0	0	0	0.25	166	0	10.705	0.246	0
1	1	3	5	1	0	0	0	-0.25	136	0	10.409	0.597	0
1	1	3	6	2	0	0	0	0.25	157	0	9.443	0.78	0
1	1	3	7	2	0	0	0	0.25	183	0	9.138	1.148	0
1	1	3	8	1	0	0	0	-0.25	167	0	9.843	0.121	0
1	1	3	9	2	0	0	0	-0.25	156	0	8.863	1.581	0
1	1	3	10	2	0	0	0	-0.25	201	0	9.395	0.96	0
1	1	3	11	1	0	0	0	0.25	170	0	10.481	0.692	0
1	1	3	12	1	0	0	0	0.25	188	0	10.211	0.428	0
1	1	3	13	1	0	0	0	0.25	160	0	9.884	0.456	0
1	1	3	14	2	0	0	0	-0.25	206	0	10.222	0.126	0
1	1	3	15	2	0	0	0	-0.25	169	0	9.367	0.576	0
1	1	3	16	1	0	0	0	-0.25	174	0	10.407	0.537	0
1	1	3	17	2	0	0	0	-0.25	154	0	9.899	0.557	0
1	1	3	18	2	0	0	0	-0.25	181	0	9.743	0.53	0
1	1	3	19	2	0	0	0	0.25	135	0	9.982	0.233	0
1	1	3	20	1	0	0	0	-0.25	163	0	10.271	0.456	0
1	1	3	21	1	0	0	0	-0.25	164	0	10.714	0.597	0
1	1	3	22	1	0	0	0	-0.25	155	0	10.311	0.614	0
1	1	3	23	2	0	0	0	-0.25	188	0	9.43	0.677	0
1	1	3	25	2	0	0	0	0.25	165	0	9.362	0.527	0
1	1	3	26	1	0	0	0	0.25	142	0	10.285	0.363	0
1	1	3	27	1	0	0	0	0.25	156	0	11.066	1.272	0
1	1	3	28	2	0	0	0	0.25	159	0	9.415	0.647	0
1	1	3	29	2	0	0	0	-0.25	173	0	10.071	0.249	0
1	1	3	30	1	0	0	0	0.25	143	0	10.758	0.869	0
1	1	3	31	1	0	0	0	0.25	153	0	10.311	0.507	0
1	1	3	32	2	0	0	0	0.25	194	0	8.58	1.561	0
1	1	4	8	2	1	1	0.25	0.25	203	0	9.672	0.639	0
1	1	4	9	1	-1	1	0.25	-0.25	87	1	9.99	0.366	0
1	1	4	10	2	-1	1	0.25	-0.25	179	0	10.245	0.176	0
1	1	4	11	2	-1	1	0.25	-0.25	181	0	10.236	0.311	0
1	1	4	13	2	-1	1	0.25	-0.25	186	0	9.702	0.413	0
1	1	4	14	1	1	1	0.25	0.25	131	0	9.644	0.083	0
1	1	4	15	1	-1	1	0.25	-0.25	161	0	10.317	0.472	0
1	1	4	16	1	1	1	0.25	0.25	129	1	9.941	0.14	0
1	1	4	17	1	-1	1	0.25	-0.25	63	1	9.326	0.516	0
1	1	4	18	1	-1	1	0.25	-0.25	133	0	9.876	0.23	0
1	1	4	19	2	1	1	0.25	0.25	84	1	9.873	20.094	1
1	1	4	20	1	-1	1	0.25	-0.25	116	1	10.218	0.137	0
1	1	4	21	2	1	1	0.25	0.25	225	0	9.692	0.437	0
1	1	4	22	2	1	1	0.25	0.25	110	1	9.453	0.622	0
1	1	4	23	2	-1	1	0.25	-0.25	167	0	9.237	1.042	0
1	1	4	24	2	1	1	0.25	0.25	252	0	9	1.33	0
1	1	4	25	2	1	1	0.25	0.25	289	0	8.786	1.63	0
1	1	4	26	2	-1	1	0.25	-0.25	245	0	9.809	0.628	0
1	1	4	27	2	1	1	0.25	0.25	191	0	9.977	0.481	0
1	1	4	28	1	1	1	0.25	0.25	181	0	10.175	0.486	0
1	1	4	29	2	-1	1	0.25	-0.25	194	0	9.39	1.061	0
1	1	4	30	1	1	1	0.25	0.25	167	0	9.923	0.29	0
1	1	4	31	1	-1	1	0.25	-0.25	160	0	10.424	0.543	0
1	1	4	32	1	-1	1	0.25	-0.25	183	0	10.056	0.532	0
1	1	4	33	2	1	1	0.25	0.25	213	0	9.997	0.511	0
1	1	4	34	1	1	1	0.25	0.25	127	1	9.53	0.118	0
1	1	4	35	1	1	1	0.25	0.25	167	0	10.22	0.532	0
1	1	4	36	2	-1	1	0.25	-0.25	161	0	10.09	0.342	0
1	1	4	37	1	1	1	0.25	0.25	139	0	10.181	0.524	0
1	1	4	38	2	-1	1	0.25	-0.25	223	0	10.462	0.055	0
1	1	5	2	1	1	1	-0.25	-0.25	203	0	10.582	0.981	0
1	1	5	3	1	-1	1	-0.25	0.25	191	0	9.938	0.426	0
1	1	5	4	2	-1	1	-0.25	0.25	171	0	10.422	0.007	0
1	1	5	5	2	-1	1	-0.25	0.25	222	0	9.607	0.739	0
1	1	5	6	2	-1	1	-0.25	0.25	180	0	9.629	0.66	0
1	1	5	7	2	1	1	-0.25	-0.25	177	0	9.828	0.696	0
1	1	5	8	1	1	1	-0.25	-0.25	95	1	9.198	0.503	0
1	1	5	9	1	-1	1	-0.25	0.25	240	0	9.291	0.271	0
1	1	5	10	2	1	1	-0.25	-0.25	142	0	9.676	0.557	0
1	1	5	11	2	1	1	-0.25	-0.25	178	0	10.394	0.099	0
1	1	5	12	2	1	1	-0.25	-0.25	133	0	9.478	1.012	0
1	1	5	13	1	1	1	-0.25	-0.25	146	0	9.835	0.382	0
1	1	5	14	2	-1	1	-0.25	0.25	186	0	9.953	0.576	0
1	1	5	15	1	-1	1	-0.25	0.25	151	0	9.955	0.556	0
1	1	5	16	2	1	1	-0.25	-0.25	169	0	9.77	0.699	0
1	1	5	17	1	-1	1	-0.25	0.25	100	1	10.099	0.63	0
1	1	5	18	2	1	1	-0.25	-0.25	176	0	9.623	1.199	0
1	1	5	19	2	1	1	-0.25	-0.25	177	0	9.974	0.628	0
